Temperature (K),Enthalpy (J/mol)
2200.8,54928.240000000005
2205.2,55003.03999999999
2209.6000000000004,55077.840000000004
2214.0,55152.64
2218.4,55227.44
2222.8,55302.240000000005
2227.2,55377.03999999999
2231.6000000000004,55451.840000000004
2236.0,55526.64
2240.4,55601.44
2244.8,55676.240000000005
2249.2,55751.03999999999
2253.6000000000004,55825.840000000004
2258.0,55900.64
2262.4,55975.44
2266.8,56050.240000000005
2271.2000000000003,56125.04000000001
2275.6000000000004,56199.840000000004
2280.0,56274.64
2284.4,56349.44
2288.8,56424.240000000005
2293.2000000000003,56499.04000000001
2297.6000000000004,56573.840000000004
2302.0,56648.64
2306.4,56723.44
2310.8,56798.240000000005
2315.2000000000003,56873.04000000001
2319.6000000000004,56947.840000000004
2324.0,57022.64
2328.4,57097.44
2332.8,57172.240000000005
2337.2000000000003,57247.04000000001
2341.6000000000004,57321.840000000004
2346.0,57396.64
2350.4,57471.44
2354.8,57546.240000000005
2359.2000000000003,57621.04000000001
2363.6000000000004,57695.840000000004
2368.0,57770.64
2372.4,57845.44
2376.8,57920.240000000005
2381.2000000000003,57995.04000000001
2385.6000000000004,58069.840000000004
2390.0,58144.64
2394.4,58219.44
2398.8,58294.240000000005
2403.2000000000003,58369.04000000001
2407.6000000000004,58443.840000000004
2412.0,58518.64
2416.4,58593.44
2420.8,58668.240000000005
2425.2000000000003,58743.04000000001
2429.6000000000004,58817.840000000004
2434.0,58892.64
2438.4,58967.44
2442.8,59042.240000000005
2447.2000000000003,59117.04000000001
2451.6000000000004,59191.840000000004
2456.0,59266.64
2460.4,59341.44
2464.8,59416.240000000005
2469.2000000000003,59491.04000000001
2473.6000000000004,59565.840000000004
2478.0,59640.64
2482.4,59715.44
2486.8,59790.24
2491.2000000000003,59865.04000000001
2495.6000000000004,59939.840000000004
2500.0,60014.64
